leto,država,bdp
1994,United Kingdom,960428
1994,Germany,1859310
1994,France,1175737
1994,Spain,425089
1994,Italy,891770
1994,Portugal,82359
1994,Greece,83020
1994,Ireland,48166
1994,Andorra,1013
1994,Albania,1982
1994,Armenia,544
1994,Austria,169945
1994,Australia,296049
1994,Azerbaijan,1896
1994,Bosnia & Herzegovina,1054
1994,Belgium,198401
1994,Bulgaria,8162
1994,Belarus,12723
1994,Switzerland,246872
1994,Cyprus,6712
1994,Czech Republic,38750
1994,Denmark,131678
1994,Estonia,2037
1994,Finland,87157
1994,Georgia,694
1994,Croatia,12402
1994,Hungary,34910
1994,Israel,70853
1994,Iceland,5298
1994,Lithuania,3572
1994,Latvia,3407
1994,Monaco,2263
1994,Moldova,1167
1994,Montenegro,702
1994,Macedonia,2990
1994,Malta,2730
1994,The Netherlands,296155
1994,Norway,107144
1994,Poland,87062
1994,Romania,25246
1994,Serbia,17003
1994,Russia,249631
1994,Sweden,192863
1994,Slovenia,12130
1994,Slovakia,13003
1994,San Marino,745
1994,Turkey,108862
1994,Ukraine,31918
1995,United Kingdom,960428
1995,Germany,1859310
1995,France,1175737
1995,Spain,425089
1995,Italy,891770
1995,Portugal,82359
1995,Greece,83020
1995,Ireland,48166
1995,Andorra,1013
1995,Albania,1765
1995,Armenia,484
1995,Austria,169945
1995,Australia,263613
1995,Azerbaijan,1688
1995,Bosnia & Herzegovina,939
1995,Belgium,198401
1995,Bulgaria,8162
1995,Belarus,11329
1995,Switzerland,246872
1995,Cyprus,6712
1995,Czech Republic,38750
1995,Denmark,131678
1995,Estonia,2037
1995,Finland,87157
1995,Georgia,618
1995,Croatia,12402
1995,Hungary,34910
1995,Israel,63090
1995,Iceland,5298
1995,Lithuania,3572
1995,Latvia,3407
1995,Monaco,2263
1995,Moldova,1039
1995,Montenegro,702
1995,Macedonia,2662
1995,Malta,2730
1995,The Netherlands,296155
1995,Norway,107144
1995,Poland,77523
1995,Romania,25246
1995,Serbia,15140
1995,Russia,222281
1995,Sweden,192863
1995,Slovenia,12130
1995,Slovakia,13003
1995,San Marino,745
1995,Turkey,108862
1995,Ukraine,28421
1996,United Kingdom,960428
1996,Germany,1859310
1996,France,1175737
1996,Spain,425089
1996,Italy,891770
1996,Portugal,82359
1996,Greece,83020
1996,Ireland,48166
1996,Andorra,1013
1996,Albania,1878
1996,Armenia,515
1996,Austria,169945
1996,Australia,280501
1996,Azerbaijan,1796
1996,Bosnia & Herzegovina,999
1996,Belgium,198401
1996,Bulgaria,8162
1996,Belarus,12054
1996,Switzerland,246872
1996,Cyprus,6712
1996,Czech Republic,38750
1996,Denmark,131678
1996,Estonia,2037
1996,Finland,87157
1996,Georgia,657
1996,Croatia,12402
1996,Hungary,34910
1996,Israel,67131
1996,Iceland,5298
1996,Lithuania,3572
1996,Latvia,3407
1996,Monaco,2263
1996,Moldova,1105
1996,Montenegro,702
1996,Macedonia,2833
1996,Malta,2730
1996,The Netherlands,296155
1996,Norway,107144
1996,Poland,82490
1996,Romania,25246
1996,Serbia,16110
1996,Russia,236521
1996,Sweden,192863
1996,Slovenia,12130
1996,Slovakia,13003
1996,San Marino,745
1996,Turkey,108862
1996,Ukraine,30242
1997,United Kingdom,960428
1997,Germany,1859310
1997,France,1175737
1997,Spain,425089
1997,Italy,891770
1997,Portugal,82359
1997,Greece,83020
1997,Ireland,48166
1997,Andorra,1013
1997,Albania,2064
1997,Armenia,566
1997,Austria,169945
1997,Australia,308318
1997,Azerbaijan,1974
1997,Bosnia & Herzegovina,1098
1997,Belgium,198401
1997,Bulgaria,8162
1997,Belarus,13250
1997,Switzerland,246872
1997,Cyprus,6712
1997,Czech Republic,38750
1997,Denmark,131678
1997,Estonia,2037
1997,Finland,87157
1997,Georgia,723
1997,Croatia,12402
1997,Hungary,34910
1997,Israel,73789
1997,Iceland,5298
1997,Lithuania,3572
1997,Latvia,3407
1997,Monaco,2263
1997,Moldova,1215
1997,Montenegro,702
1997,Macedonia,3114
1997,Malta,2730
1997,The Netherlands,296155
