"Date","Price","Open","High","Low","Change %"
"Nov 20","0.8584","0.8583","0.8604","0.8579","0.01%"
"Oct 20","0.8583","0.8530","0.8591","0.8417","0.61%"
"Sep 20","0.8531","0.8377","0.8612","0.8327","1.84%"
"Aug 20","0.8377","0.8486","0.8550","0.8357","-1.31%"
"Jul 20","0.8488","0.8903","0.8941","0.8397","-4.64%"
"Jun 20","0.8901","0.9011","0.9013","0.8755","-1.21%"
"May 20","0.9010","0.9128","0.9288","0.8971","-1.28%"
"Apr 20","0.9126","0.9065","0.9323","0.9058","0.67%"
"Mar 20","0.9065","0.9089","0.9402","0.8701","-0.04%"
"Feb 20","0.9069","0.9016","0.9279","0.9012","0.61%"
"Jan 20","0.9014","0.8919","0.9098","0.8907","1.07%"
"Dec 19","0.8919","0.9080","0.9090","0.8898","-1.74%"
"Nov 19","0.9077","0.8967","0.9108","0.8949","1.23%"
"Oct 19","0.8967","0.9175","0.9193","0.8946","-2.26%"
"Sep 19","0.9174","0.9102","0.9187","0.9002","0.82%"
"Aug 19","0.9099","0.9030","0.9123","0.8889","0.78%"
"Jul 19","0.9029","0.8796","0.9042","0.8790","2.65%"
"Jun 19","0.8796","0.8954","0.8964","0.8762","-1.63%"
"May 19","0.8942","0.8916","0.9004","0.8877","0.28%"
"Apr 19","0.8917","0.8913","0.9000","0.8829","0.03%"
"Mar 19","0.8914","0.8784","0.8948","0.8734","1.36%"
"Feb 19","0.8794","0.8736","0.8901","0.8702","0.66%"
"Jan 19","0.8736","0.8721","0.8858","0.8643","0.21%"
"Dec 18","0.8718","0.8839","0.8874","0.8705","-1.35%"
"Nov 18","0.8837","0.8841","0.8918","0.8696","-0.05%"
"Oct 18","0.8841","0.8617","0.8849","0.8600","2.64%"
"Sep 18","0.8614","0.8624","0.8676","0.8463","-0.06%"
"Aug 18","0.8619","0.8554","0.8851","0.8522","0.76%"
"Jul 18","0.8554","0.8583","0.8639","0.8480","-0.05%"
"Jun 18","0.8558","0.8552","0.8690","0.8437","0.07%"
"May 18","0.8552","0.8280","0.8689","0.8273","3.30%"
"Apr 18","0.8279","0.8115","0.8296","0.8055","2.02%"
"Mar 18","0.8115","0.8200","0.8227","0.8015","-1.04%"
"Feb 18","0.8200","0.8055","0.8206","0.7965","1.85%"
"Jan 18","0.8051","0.8332","0.8392","0.7975","-3.41%"
"Dec 17","0.8335","0.8400","0.8536","0.8314","-0.77%"
"Nov 17","0.8400","0.8587","0.8656","0.8360","-2.18%"
"Oct 17","0.8587","0.8462","0.8640","0.8417","1.44%"
"Sep 17","0.8465","0.8397","0.8536","0.8269","0.81%"
"Aug 17","0.8397","0.8445","0.8576","0.8286","-0.57%"
"Jul 17","0.8445","0.8756","0.8841","0.8441","-3.51%"
