leto,država,točke
1994,Austria,19
1994,Bosnia & Herzegovina,39
1994,Croatia,27
1994,Cyprus,51
1994,Estonia,2
1994,Finland,11
1994,France,74
1994,Germany,128
1994,Greece,44
1994,Hungary,122
1994,Iceland,49
1994,Ireland,226
1994,Lithuania,0
1994,Malta,97
1994,Norway,76
1994,Poland,166
1994,Portugal,73
1994,Romania,14
1994,Russia,70
1994,Slovakia,15
1994,Spain,17
1994,Sweden,48
1994,Switzerland,15
1994,The Netherlands,4
1994,United Kingdom,63
1995,Austria,67
1995,Belgium,8
1995,Bosnia & Herzegovina,14
1995,Croatia,91
1995,Cyprus,79
1995,Denmark,92
1995,France,94
1995,Germany,1
1995,Greece,68
1995,Hungary,3
1995,Iceland,31
1995,Ireland,44
1995,Israel,81
1995,Malta,76
1995,Norway,148
1995,Poland,15
1995,Portugal,5
1995,Russia,17
1995,Slovenia,84
1995,Spain,119
1995,Sweden,100
1995,Turkey,21
1995,United Kingdom,76
1996,Austria,68
1996,Belgium,22
1996,Bosnia & Herzegovina,13
1996,Croatia,98
1996,Cyprus,72
1996,Estonia,94
1996,Finland,9
1996,France,18
1996,Greece,36
1996,Iceland,51
1996,Ireland,162
1996,Malta,68
1996,Norway,114
1996,Poland,31
1996,Portugal,92
1996,Slovakia,19
1996,Slovenia,16
1996,Spain,17
1996,Sweden,100
1996,Switzerland,22
1996,The Netherlands,78
1996,Turkey,57
1996,United Kingdom,77
1997,Austria,12
1997,Bosnia & Herzegovina,22
1997,Croatia,24
1997,Cyprus,98
1997,Denmark,25
1997,Estonia,82
1997,France,95
1997,Germany,22
1997,Greece,39
1997,Hungary,39
1997,Iceland,18
1997,Ireland,157
1997,Italy,114
1997,Malta,66
1997,Norway,0
1997,Poland,54
1997,Portugal,0
1997,Russia,33
1997,Slovenia,60
1997,Spain,96
1997,Sweden,36
1997,Switzerland,5
1997,The Netherlands,5
1997,Turkey,121
1997,United Kingdom,227
1998,Belgium,122
1998,Croatia,131
1998,Cyprus,37
1998,Estonia,36
1998,Macedonia,16
1998,Finland,22
1998,France,3
1998,Germany,86
1998,Greece,12
1998,Hungary,4
1998,Ireland,64
1998,Israel,172
1998,Malta,165
1998,Norway,79
1998,Poland,19
1998,Portugal,36
1998,Romania,6
1998,Slovakia,8
1998,Slovenia,17
1998,Spain,21
1998,Sweden,53
1998,Switzerland,0
1998,The Netherlands,150
1998,Turkey,25
1998,United Kingdom,166
1998,F.Y.R. Macedonia,0
1999,Austria,65
1999,Belgium,38
1999,Bosnia & Herzegovina,86
1999,Croatia,118
1999,Cyprus,2
1999,Denmark,71
1999,Estonia,90
1999,France,14
1999,Germany,140
1999,Iceland,146
1999,Ireland,18
1999,Israel,93
1999,Lithuania,13
1999,Malta,32
1999,Norway,35
1999,Poland,17
1999,Portugal,12
1999,Slovenia,50
1999,Spain,1
1999,Sweden,163
1999,The Netherlands,71
1999,Turkey,21
1999,United Kingdom,38
2000,Austria,34
2000,Belgium,2
2000,Croatia,70
2000,Cyprus,8
2000,Denmark,195
2000,Estonia,98
2000,Macedonia,29
2000,Finland,18
2000,France,5
2000,Germany,96
2000,Iceland,45
2000,Ireland,92
2000,Israel,7
2000,Latvia,136
2000,Malta,73
2000,Norway,57
2000,Romania,25
2000,Russia,155
2000,Spain,18
2000,Sweden,88
2000,Switzerland,14
2000,The Netherlands,40
2000,Turkey,59
2000,United Kingdom,28
2000,F.Y.R. Macedonia,0
2001,Bosnia & Herzegovina,29
2001,Croatia,42
2001,Denmark,177
2001,Estonia,198
2001,France,142
2001,Germany,66
2001,Greece,147
2001,Iceland,3
2001,Ireland,6
2001,Israel,25
2001,Latvia,16
2001,Lithuania,35
2001,Malta,48
2001,Norway,3
2001,Poland,11
2001,Portugal,18
2001,Russia,37
2001,Slovenia,70
2001,Spain,76
2001,Sweden,100
2001,The Netherlands,16
2001,Turkey,41
2001,United Kingdom,28
2002,Austria,26
2002,Belgium,33
2002,Bosnia & Herzegovina,33
2002,Croatia,44
2002,Cyprus,85
2002,Denmark,7
2002,Estonia,111
2002,Macedonia,25
2002,Finland,24
2002,France,104
2002,Germany,17
2002,Greece,27
2002,Israel,37
2002,Latvia,176
2002,Lithuania,12
2002,Malta,164
2002,Romania,71
2002,Russia,55
2002,Slovenia,33
2002,Spain,81
2002,Sweden,72
2002,Switzerland,15
2002,Turkey,29
2002,United Kingdom,111
2002,F.Y.R. Macedonia,0
2003,Austria,101
2003,Belgium,165
2003,Bosnia & Herzegovina,27
2003,Croatia,29
2003,Cyprus,15
2003,Estonia,14
2003,France,19
2003,Germany,53
2003,Greece,25
2003,Iceland,81
2003,Ireland,53
2003,Israel,17
2003,Lithuania,5
2003,Malta,4
2003,Norway,123
2003,Poland,90
2003,Portugal,13
